chapter,page,line,cam_1882,cam_NYE,change_type,is_dialogue_tag,art_reference,art_topic
1,4,6,picturesque tricks,pictorial tricks,,,,
1,4,7,"presented itself to the lawn, with its patches of ivy",presented to the lawn its patches of ivy,,,,
1,5,8,"But at present, obviously,","At present, obviously, nevertheless,",,,,
1,5,10,with evenly distributed features,with features evenly distributed,,,,
1,5,12,the range of expression was not large;,"the range of representation was not large,",,,,
1,5,14,but it seemed to tell,yet it seemed to tell,,,,
1,5,23,the master contemplated the still more magisterial physiognomy of the house,the master took in the still more magisterial physiognomy of the house,,,,
1,6,2,another pattern,a different pattern,,,,
1,6,13,that they were father and son,they were father and son,,,,
1,6,23,his son inquired,the son enquired,,TRUE,,
1,7,1,that we are,we're,,,,
1,7,1,said his companion,his companion remarked,,TRUE,,
1,7,8,"said Lord Warburton,",Lord Warburton resumed,,TRUE,,
1,8,9,to believe anything,to believe in anything,,,,
1,9,5,because you are so ridiculously wealthy,because you haveóhaven't you?ósuch unlimited means,,,,
1,9,6,"said the other young man, indicating his father",the other young man mercifully pleaded,,TRUE,,
1,9,24,"thingsóthat is, the great opportunity","things, thenóthat's the great opportunity",,,,
1,10,21,such ethereal ones,such highly ethereal ones,,,,
1,10,29,"the old man declared,",the old man returned,,TRUE,,
1,10,36,to come with her,to come out with her,,,,
1,12,4,"""It's her independence,""","""It's her share in the family trait, the independence she speaks of.""",,,,
1,12,4,"her son explained, more favourably",Her son's appreciation of the matter was more favourable,,TRUE,,
1,12,4,Whatever that of those,Whatever the high spirit of those,,,,
1,12,12,Mr. Touchett declared,Mr. Touchett replied,,TRUE,,
1,12,18,you would be a good husband,you'd be a remarkable husband,,,,
1,12,22,"As for my being a good husband, I am not sure of that either; one can but try!""ù","As for my being a good husband,"" Mr. Touchett's visitor pursued, ""I'm not sure of that either. One can but try!""ù",,,,
1,12,23,said the old man,smiled the old man,,TRUE,,
2,13,5,"His face was turned towards the house, but his eyes were bent, musingly, upon the lawn","His face was turned toward the house, but his eyes were bent musingly on the lawn",,,,
2,13,6,the doorway of the dwelling,the ample doorway,,,,
2,13,11,the little terrier,the small beast,,,,
2,13,15,his joyous demonstration,his quick chatter,,,,
2,14,5,a little darling,a perfect little darling,,,,
2,14,7,he said,he then replied,,TRUE,,
2,14,10,she murmured,she brought out,,TRUE,,
2,14,13,Have you come with my mother?,Have you arrived with my mother?,,,,
2,14,21,he went on,DELETION,deletion,TRUE,,
2,14,23,an eye that denoted quick perception,an eye that denoted clear perception,,,,
2,14,25,she said.,DELETION,deletion,TRUE,,
2,14,31,The young girl gave a laugh,The girl gave a laugh,,,,
2,14,36,the little terrier,the small dog,,,,
2,15,2,she lingered in the doorway,she lingered so near the threshold,,,,
2,15,3,wondered whether,wondered if,,,,
2,15,11,rather strong,rather intensely active,,,,
2,15,14,"""Well, he has got a lovely place to sit. Come along, little dogs.""ù","""Well, he has a lovely place to sit. Come along, little hound.""ù",,,,
2,15,18,her attention having reverted to the terrier again,her attention having again reverted to the terrier,,,,
2,15,20,"said the young lady, humorously",said the young lady with amusement,,TRUE,,
2,16,6,the old man murmured,the old man commented,,TRUE,,
2,16,7,"he went on, addressing his wife's niece",he observed to his wife's niece,,,,
2,16,8,the moment I arrived,the moment I got there,,,,
2,16,15,she had also narrowly scrutinised her companions,she had made room in it for her companions,,,,
2,16,20,"her eye brilliant, her flexible figure turned itself lightly","her eye lighted, her flexible figure turned itself easily",,,,
2,16,23,I have never seen,I've never seen,,,,
2,16,23,she declared.,DELETION,,TRUE,,
2,16,28,young girls,young persons,,,,
2,16,31,"she exclaimed quickly, with a little laugh",she returned with a quick laugh,,TRUE,,
2,16,34,watching his face a little,watching his face,,,,
2,17,5,He bent towards her a little,"He slightly inclined himself,",,,,
2,17,16,"he inquired, by way of beginning; and ",he enquired by way of beginning. He seemed to recognise that it was,,TRUE,,
2,17,31,"in New York, and Albany, and other places",in New York and Albany and other American places,,,,
2,17,33,Miss Archer hesitated a moment.,Miss Archer just hesitated.,,,,
2,18,5,I should come to Europe,I should come with her to Europe,,,,
2,18,12,she rested her startled eyes upon him,she rested her wider eyes on him,,,,
2,18,13,she said.,DELETION,deletion,TRUE,,
2,18,13,I am not a candidate,I'm not a candidate,,TRUE,,
2,18,22,"The girl hesitated a moment, smiling.","The girl hesitated again, smiling.",,,,
2,18,24,and then she went over to her uncle,after which she went over to her uncle,,,,
3,19,5,"although it was by no means without benevolence,",although by no means without liberal motions,,,,
3,19,6,an impression of softness,an impression of suavity,,,,
3,19,8,it was simply very sharply distinguished,it was just unmistakeably distinguished,,,,
3,19,10,a wounding effect,a knife-like effect,,,,
3,19,11,This purity of outline was visible in her deportment,That hard fineness came out in her deportment,,,,
3,19,16,until she had achieved a toilet,until she had repaired the disorder of dress with a completeness,,,,
3,19,18,without coquetry,without graces,,,,
3,19,24,"It had become apparent, at an early stage of their relations,","It had become clear, at an early stage of their community,",,,,
3,19,25,and this fact had prompted her,and this appearance had prompted her,,,,
3,19,29,leaving her husband in England to take care of his bank,leaving her husband to take care of the English branch of his bank,,,,
3,19,30,so extremely definite,so felicitously definite,,,,
3,20,2,discomfort should have a greater vagueness,such unnatural things should have a greater vagueness,,,,
3,20,8,"She was not fond of England,","She was not fond of the English style of life,",,,,
3,20,9,"minor points of British civilisation,","minor points of that ancient order,",,,,
3,20,16,this last one had been longer,this last had been longer,,,,
3,20,20,say that she had a book,say she was so occupied,,,,TRUE
3,20,23,"a want of lightness in her situation, which the arrival of an unexpected visitor did much to dispel",a want of fresh taste in her situation which the arrival of an unexpected visitor did much to correct,,,,
3,20,26,the windows of the parlour,the windows of one of the lower apartments,,,,
3,21,9,"more plentiful, more sociable","more plentiful, practically more festal",,,,
3,21,14,standing invitations to stay with her,standing invitations to arrive and remain,,,,
3,21,18,she thought her grandmother's dwelling picturesque,she thought her grandmother's home romantic,,,,TRUE
3,21,21,containing certain capital peach-trees,containing peach-trees of barely credible familiarity,,,,
3,21,23,"On the other side, opposite, across the street","On the other side, across the street",,,,
3,21,29,kept in an amateurish manner by a demonstrative lady,"kept or rather let go, by a demonstrative lady",,,,
