Word In 1882 Line,Words in Replacement Line,Frequency
smiling,smiled,17
isabel,young,16
said,smiled,14
excuse,pardon,14
towards,toward,13
said,returned,13
said,went,13
little,small,12
isabel,friend,11
moment,little,10
isabel,girl,9
said,observed,9
rejoined,returned,9
answered,replied,8
lady,woman,8
however,le,8
isabel,woman,8
madame,friend,8
merle,friend,8
wish,want,8
seemed,struck,7
warburton,friend,7
lunch,luncheon,7
however,none,7
looking,looked,7
made,making,6
answered,returned,6
lord,friend,6
said,added,6
said,spoke,6
isabel,like,6
said,declared,6
isabel,returned,6
came,come,6
osmond,gilbert,6
said,resumed,5
girl,person,5
picturesque,romantic,5
young,person,5
however,even,5
conversation,talk,5
moment,silent,5
inquired,asked,5
drawing-room,saloon,5
isabel,might,5
isabel,small,5
merle,lady,5
madame,lady,5
merle,visitor,5
madame,visitor,5
like,well,5
wished,wanted,5
tired,bored,5
inquired,enquired,4
declared,returned,4
exclaimed,returned,4
lady,person,4
seemed,even,4
feeling,sense,4
feeling,never,4
woman,even,4
said,pursued,4
grey,eye,4
girl,creature,4
warburton,neighbour,4
lord,neighbour,4
people,person,4
moment,considered,4
isabel,visitor,4
thought,found,4
smiling,smile,4
warburton,companion,4
lord,companion,4
girl,little,4
isabel,away,4
time,hour,4
answer,reply,4
fellow,man,4
took,taken,4
laugh,laughed,4
think,believe,4
asked,demanded,4
think,consider,4
isabel,felt,4
said,answered,4
seemed,appeared,4
isabel,lady,4
circumstance,condition,4
young,little,4
woman,person,4
murmured,wailed,4
said,laughed,4
something,small,4
isabel,companion,4
isabel,went,4
lord,visitor,4
warburton,visitor,4
offer,hand,4
young,small,4
pansy,little,4
hesitated,hung,4
said,remarked,3
said,replied,3
little,slightly,3
said,began,3
girl,young,3
girl,woman,3
made,might,3
made,rather,3
said,might,3
disagreeable,unpleasant,3
thought,held,3
certain,high,3
became,become,3
anything,might,3
upon,help,3
offer,help,3
opportunity,occasion,3
eye,grey,3
nice,yet,3
girl,isabel,3
young,creature,3
mind,spirit,3
mingled,mixed,3
thought,though,3
isabel,observed,3
know,knew,3
exclaimed,sighed,3
inquired,demanded,3
isabel,affected,3
visitor,guest,3
said,even,3
exclaimed,cried,3
fellow,sort,3
something,like,3
cried,much,3
laugh,much,3
said,say,3
moment,waited,3
great,grand,3
however,indeed,3
say,appeared,3
isabel,air,3
little,much,3
silent,little,3
felt,hand,3
little,hand,3
something,ever,3
isabel,since,3
judgment,judgement,3
always,thing,3
isabel,thing,3
isabel,harmony,3
kind,thing,3
quality,conscious,3
isabel,seemed,3
looked,like,3
way,give,3
way,awfully,3
told,thing,3
looked,considered,3
moment,looked,3
seemed,might,3
sort,affected,3
large,big,3
mr.,visitor,3
isabel,appeal,3
something,might,3
think,perhaps,3
isabel,find,3
going,go,3
isabel,sense,3
eye,face,3
lady,effect,3
lady,hand,3
lady,little,3
made,hand,3
beethoven,schubert,3
lady,companion,3
isabel,world,3
reflection,reflexion,3
like,awfully,3
woman,high,3
asked,enquired,3
knew,known,3
isabel,niece,3
always,know,3
merle,companion,3
madame,companion,3
say,tell,3
smile,ease,3
somewhat,quite,3
looked,looking,3
little,might,3
upon,high,3
delicate,fine,3
girl,child,3
good,excellent,3
silent,considered,3
better,nothing,3
whole,thing,3
whole,world,3
whole,without,3
think,nothing,3
certain,world,3
certain,without,3
better,might,3
osmond,man,3
isabel,spoke,3
isabel,easy,3
good,might,3
moment,minute,3
fellow,awfully,3
standing,stood,3
isabel,smiled,3
good,much,3
manner,much,3
upon,thing,3
something,thing,3
something,great,3
isabel,said,3
isabel,stood,3
said,asked,3
madame,woman,3
merle,woman,3
madame,personage,3
merle,personage,3
deal,much,3
isabel,much,3
difficult,hard,3
moment,instant,3
pansy,girl,3
osmond,husband,3
marriage,union,3
isabel,mrs.,3
isabel,osmond,3
hesitated,waited,3
moment,debated,3
hesitated,debated,3
pansy,child,3
miserable,wretched,3
moment,hung,3
moment,fire,3
hesitated,fire,3
tired,dear,3
tired,always,3
tired,thing,3
terrier,small,2
murmured,brought,2
little,inclined,2
visible,came,2
england,english,2
british,order,2
manner,rather,2
